asset_id,person,project,asset_layer,kind,local_path,derived_from,format_or_codec,width_px,height_px,duration_seconds,source_reported_dimensions_or_duration,source_page,source_media_url,derivation,rights_status,publish_status,notes,sha256
nw-ed655a2a5da3,michael,,source,image,assets/source/michael/portfolio-expansion/michael-8024096-red-suit.webp,,webp,2083,1667,,,,,,owner-review;replace-with-approved-master,prototype-only,,c34e6f69ae86edacdcf112e3de2798e40019fa7ad2ed379a1a774dd3516424e8
nw-a2c7a3f87c7b,michael,,source,image,assets/source/michael/portfolio-expansion/michael-ad-interior.webp,,webp,1603,1069,,,,,,owner-review;replace-with-approved-master,prototype-only,,4b6d6ea06eddef9ca6c0d6b4e5da0dd6114a3af2a596d36c524e0f1519a84630
nw-3a434d097ac2,michael,,source,image,assets/source/michael/portfolio-expansion/michael-aw50273-dark-portrait.webp,,webp,1929,1543,,,,,,owner-review;replace-with-approved-master,prototype-only,,fc49d4565ae288fcf6f1dd909b8c61eedb63d239d04195c19466510600627d7a
nw-b3399ce7f1bc,michael,,source,image,assets/source/michael/portfolio-expansion/michael-aw50519-court-bw.webp,,webp,2185,1639,,,,,,owner-review;replace-with-approved-master,prototype-only,,0bdc3cc6502ec2c0232bfb22eb13f3eb2f2db114014daa83cbd3958844694869
nw-1725266b793e,michael,,source,image,assets/source/michael/portfolio-expansion/michael-aw51026-court-portrait.webp,,webp,1633,1633,,,,,,owner-review;replace-with-approved-master,prototype-only,,1fbb3157a6e220cdaa740d414d449b9ab00886c82c9532fbe9631b6e2705f36f
nw-3259721eb6e9,michael,,source,image,assets/source/michael/portfolio-expansion/michael-aw59536-group.webp,,webp,2344,2344,,,,,,owner-review;replace-with-approved-master,prototype-only,,5fcdf092f61fb6d30282e6800b0663ca45bed3e1563138dbf9e78409da458870
nw-0678bb662289,michael,,source,image,assets/source/michael/portfolio-expansion/michael-aw59596-double-exposure.webp,,webp,854,1280,,,,,,owner-review;replace-with-approved-master,prototype-only,,9f99da89b485a09dc429312a423c18f04f9d626433ded6be975e7f4a9c63e774
nw-821d82937b6f,michael,,source,image,assets/source/michael/portfolio-expansion/michael-aw59665-double-exposure.webp,,webp,2500,2500,,,,,,owner-review;replace-with-approved-master,prototype-only,,cc5ff2a509f79eebf0f0c373c9f21412295accd7fb468b3b77985b561684e670
nw-0d24b1091827,michael,,source,image,assets/source/michael/portfolio-expansion/michael-cradlewise-family.webp,,webp,2224,1668,,,,,,owner-review;replace-with-approved-master,prototype-only,,5caaced5585fe0abe9f90f5b40858dc49f74f4d5e2a8758f21c37bccc400624e
nw-3f63d1c84f5d,michael,,source,image,assets/source/michael/portfolio-expansion/michael-food-test-sandwich.webp,,webp,2500,3125,,,,,,owner-review;replace-with-approved-master,prototype-only,,e30b535a095440b065900b1a596dfc0f6b0c9f2bf78eab104293371a9c59dd9c
nw-cba3fbbe1818,michael,,source,image,assets/source/michael/portfolio-expansion/michael-green-exterior-pair.webp,,webp,2073,1659,,,,,,owner-review;replace-with-approved-master,prototype-only,,f79a8ac092b585d4b114e7efe53386ade2aa22b0208a9711f8113f9f5fb9b76b
nw-eb1242b24c79,michael,,source,image,assets/source/michael/portfolio-expansion/michael-img7198-portrait.webp,,webp,1295,1295,,,,,,owner-review;replace-with-approved-master,prototype-only,,9454690d55c7e6581fa66c617549f024386d165344653f281e6acc391c2af79c
nw-5d179719c216,michael,,source,image,assets/source/michael/portfolio-expansion/michael-img8738-wedding-bw.webp,,webp,2500,2069,,,,,,owner-review;replace-with-approved-master,prototype-only,,4ed81d7ba6450bc4b71b21ff4b8b1c531e11eef076432b7945c5699ee02b9d89
nw-dc73da1a9048,michael,,source,image,assets/source/michael/portfolio-expansion/michael-molekule-bath.webp,,webp,2195,1646,,,,,,owner-review;replace-with-approved-master,prototype-only,,8c5e5f3615352d9eb1fb04e7abbb4795d31bfeaf23a88ac350f46101d6de24c8
nw-5b0eb8396231,michael,,source,image,assets/source/michael/portfolio-expansion/michael-nanu-black-pot.webp,,webp,1667,1667,,,,,,owner-review;replace-with-approved-master,prototype-only,,ae88bf24d1a02f7bdc4ee0a433592be77a70fe7c898622c0fdeeb392dc1018f0
nw-d1cc3901b715,michael,,source,image,assets/source/michael/portfolio-expansion/michael-native-haircare-cupcakes.gif,,gif,1080,1080,,,,,,owner-review;replace-with-approved-master,prototype-only,,489baa6fc562f8ad9fd2bb7d3fefd9116978698cf6dbf86caa687594ebb6b948
nw-be4ec5c37abf,michael,,source,image,assets/source/michael/portfolio-expansion/michael-poolside-product.webp,,webp,1440,1800,,,,,,owner-review;replace-with-approved-master,prototype-only,,b580d85b7b9aa4a5a728527385a285ccb47f8634260585db2b2f1844c649503a
nw-365efe063414,michael,,source,image,assets/source/michael/portfolio-expansion/michael-product-popcorn.webp,,webp,1626,2040,,,,,,owner-review;replace-with-approved-master,prototype-only,,4739420bd8e2b6f4a19330bbeb3639f9d41b43c5a490b0ac04d94b7cb7971e83
nw-875abe8f8ca0,michael,,source,image,assets/source/michael/portfolio-expansion/michael-rainbow-cart-portrait.webp,,webp,1798,1438,,,,,,owner-review;replace-with-approved-master,prototype-only,,183e37974577765096da307d6266520e56a0f033ddaac95349dc8de42d4548ba
nw-7186df05b95a,michael,,source,image,assets/source/michael/portfolio-expansion/michael-rob-summerlin-curlers.webp,,webp,1665,1665,,,,,,owner-review;replace-with-approved-master,prototype-only,,7f6a27a749ae612aa1768934253c20214a8e1908f901934ba5cab1da690ec366
nw-f654ec01e990,michael,,source,image,assets/source/michael/portfolio-expansion/michael-skincare-blue-still.webp,,webp,1360,2042,,,,,,owner-review;replace-with-approved-master,prototype-only,,6ba878ad855bbd617bd13c56739f0ad770e0c119e1d4298fd14d401834d6776f
nw-63e4b4894d20,michael,,source,image,assets/source/michael/portfolio-expansion/michael-sports-product-graphic.webp,,webp,1226,1533,,,,,,owner-review;replace-with-approved-master,prototype-only,,0fdbee4f2cd1ff2741092cd04bb988ffb1e03a7453b7815c98f449f7328c1e8b
nw-3b88c2fa1913,michael,,source,image,assets/source/michael/portfolio-expansion/michael-wow-rainbow-pavement.webp,,webp,2339,1559,,,,,,owner-review;replace-with-approved-master,prototype-only,,18cf69528623dfb995b76eb1e145e033489d5693c68e243679356b1d571e2591
nw-f08466422bad,oliver,"Humu — Make Work Better, Holly",source,Featured still,assets/source/oliver/humu-meet-holly/featured-frame-15.webp,,webp,1240,698,,1240 × 698,https://oliverhamilton.com/project/humu-meet-holly/,https://oliverhamilton.com/wp-content/uploads/2025/01/Frame-15.webp,public portfolio rendition,owner-review;replace-with-approved-master,prototype-only,Public page asset; rights confirmation required.,226d61ac18cadba6fac9b97e4eb2eb26322cd86eef91b1efa26d9740df62b296
nw-77a5e1d9148d,oliver,"Humu — Make Work Better, Holly",source,Derived motion placeholder,assets/source/oliver/humu-meet-holly/motion-placeholder-08s.mp4,,h264,960,540,8.000000,960 × 540; 8.0 s; 30 fps; silent,https://oliverhamilton.com/project/humu-meet-holly/,https://vimeo.com/790211466,"Locally assembled from `featured-frame-15.webp`, frames 35, 37, and 38; source film: https://vimeo.com/790211466",owner-review;replace-with-approved-master,prototype-only;not-source-film,"Internal build placeholder, not a source-video extract. Replace before launch.",ef497f3e0782b8a91d7925b5bbe57cace600e6e18b1a5eb467fb47c2703af19d
nw-9cbe86072c12,oliver,"Humu — Make Work Better, Holly",source,Gallery still,assets/source/oliver/humu-meet-holly/still-frame-35.png,,png,1240,698,,1240 × 698,https://oliverhamilton.com/project/humu-meet-holly/,https://oliverhamilton.com/wp-content/uploads/2025/01/Frame-35.png,public portfolio rendition,owner-review;replace-with-approved-master,prototype-only,Public page asset; rights confirmation required.,b4644216849171a74ca293bf53b20e18221da79fe4059221a51bc0e9975555eb
nw-841bd570dcbc,oliver,"Humu — Make Work Better, Holly",source,Gallery still,assets/source/oliver/humu-meet-holly/still-frame-36.png,,png,1240,698,,1240 × 698,https://oliverhamilton.com/project/humu-meet-holly/,https://oliverhamilton.com/wp-content/uploads/2025/01/Frame-36.png,public portfolio rendition,owner-review;replace-with-approved-master,prototype-only,Public page asset; rights confirmation required.,7dab50b4262bda443e1734bffc8e67ea2de38e2de175a7720dd31a46ec3d7304
nw-a2da6ea21aeb,oliver,"Humu — Make Work Better, Holly",source,Gallery still,assets/source/oliver/humu-meet-holly/still-frame-37.png,,png,1240,698,,1240 × 698,https://oliverhamilton.com/project/humu-meet-holly/,https://oliverhamilton.com/wp-content/uploads/2025/01/Frame-37.png,public portfolio rendition,owner-review;replace-with-approved-master,prototype-only,Public page asset; rights confirmation required.,c8e248a6713fe6176df64077cd60f3a19ebdcb442cb863058496445e672f86b0
nw-e56c3f3d4c12,oliver,"Humu — Make Work Better, Holly",source,Gallery still,assets/source/oliver/humu-meet-holly/still-frame-38.png,,png,1240,698,,1240 × 698,https://oliverhamilton.com/project/humu-meet-holly/,https://oliverhamilton.com/wp-content/uploads/2025/01/Frame-38.png,public portfolio rendition,owner-review;replace-with-approved-master,prototype-only,Public page asset; rights confirmation required.,c882a97da65dd09f3fc5f4357326d7eb0baf61362e88e25b02998bdc57dfca65
nw-60b291c8c11d,oliver,Mercury — An Unexpected Life,source,Featured still,assets/source/oliver/mercury-helen-mayer/featured-frame-13.webp,,webp,1240,698,,1240 × 698,https://oliverhamilton.com/project/mercury-helen-mayer/,https://oliverhamilton.com/wp-content/uploads/2025/01/Frame-13.webp,public portfolio rendition,owner-review;replace-with-approved-master,prototype-only,Public page asset; rights confirmation required.,ea7387dcbc469d3c7ee3a41356b9d302dd00b982e41bc7db76b85078c8f3a9a2
nw-954686da6a0f,oliver,Mercury — An Unexpected Life,source,Derived motion placeholder,assets/source/oliver/mercury-helen-mayer/motion-placeholder-08s.mp4,,h264,960,540,8.000000,960 × 540; 8.0 s; 30 fps; silent,https://oliverhamilton.com/project/mercury-helen-mayer/,https://vimeo.com/867257158,Locally assembled from the four stills above; source film: https://vimeo.com/867257158,owner-review;replace-with-approved-master,prototype-only;not-source-film,"Internal build placeholder, not a source-video extract. Replace before launch.",63f24b6d5cc0d84a8d35eeadb2d48fbb2b2b576a3fcbdf7246cf505e7536d4f0
nw-af7dcbc327ca,oliver,Mercury — An Unexpected Life,source,Gallery still,assets/source/oliver/mercury-helen-mayer/still-frame-43.png,,png,1240,698,,1240 × 698,https://oliverhamilton.com/project/mercury-helen-mayer/,https://oliverhamilton.com/wp-content/uploads/2025/01/Frame-43.png,public portfolio rendition,owner-review;replace-with-approved-master,prototype-only,Public page asset; rights confirmation required.,6b7e29eb589b4d81782daef53beaf9b8f43dfb260c7bcd4aa31bd05187778898
nw-6c0e094b1a7c,oliver,Mercury — An Unexpected Life,source,Gallery still,assets/source/oliver/mercury-helen-mayer/still-frame-44.png,,png,1240,698,,1240 × 698,https://oliverhamilton.com/project/mercury-helen-mayer/,https://oliverhamilton.com/wp-content/uploads/2025/01/Frame-44.png,public portfolio rendition,owner-review;replace-with-approved-master,prototype-only,Public page asset; rights confirmation required.,ca26324fa16b774e3dbc0d816aa261cc50663de43da186920b69a29fa39f9f3e
nw-3efaa3403031,oliver,Mercury — An Unexpected Life,source,Gallery still,assets/source/oliver/mercury-helen-mayer/still-frame-46.png,,png,1240,698,,1240 × 698,https://oliverhamilton.com/project/mercury-helen-mayer/,https://oliverhamilton.com/wp-content/uploads/2025/01/Frame-46.png,public portfolio rendition,owner-review;replace-with-approved-master,prototype-only,Public page asset; rights confirmation required.,f32baa4923cb71cee5a56f296b463218892774a7b4b325061fa680a57118eaa5
nw-a19987783543,oliver,Mercury — One of the Greats,source,Featured still,assets/source/oliver/mercury-josh-fabian/featured-frame-11.webp,,webp,1240,698,,1240 × 698,https://oliverhamilton.com/project/mercury-josh-fabian/,https://oliverhamilton.com/wp-content/uploads/2025/01/Frame-11.webp,public portfolio rendition,owner-review;replace-with-approved-master,prototype-only,Public page asset; rights confirmation required.,17c1b77a278a17951588a6b07d09791306fb96ca1039fdaa6a4be56e05947480
nw-a14b29b27b3a,oliver,Mercury — One of the Greats,source,Derived motion placeholder,assets/source/oliver/mercury-josh-fabian/motion-placeholder-08s.mp4,,h264,960,540,8.000000,960 × 540; 8.0 s; 30 fps; silent,https://oliverhamilton.com/project/mercury-josh-fabian/,https://vimeo.com/867257700,"Locally assembled from `featured-frame-11.webp` and frames 47, 50, and 52; source film: https://vimeo.com/867257700",owner-review;replace-with-approved-master,prototype-only;not-source-film,"Internal build placeholder, not a source-video extract. Replace before launch.",cfb00bcf646e65ece85d7c70c06fa1abad9d53d3f611369738310755fc70feb7
nw-d6f0b925b24f,oliver,Mercury — One of the Greats,source,Gallery still,assets/source/oliver/mercury-josh-fabian/still-frame-47.png,,png,1240,698,,1240 × 698,https://oliverhamilton.com/project/mercury-josh-fabian/,https://oliverhamilton.com/wp-content/uploads/2025/01/Frame-47.png,public portfolio rendition,owner-review;replace-with-approved-master,prototype-only,Public page asset; rights confirmation required.,3c4b116ce770050cfe74281593bc4271fdffff8e2a82b674f33dce919495e82a
nw-a39118ea93bc,oliver,Mercury — One of the Greats,source,Gallery still,assets/source/oliver/mercury-josh-fabian/still-frame-48.png,,png,1240,698,,1240 × 698,https://oliverhamilton.com/project/mercury-josh-fabian/,https://oliverhamilton.com/wp-content/uploads/2025/01/Frame-48.png,public portfolio rendition,owner-review;replace-with-approved-master,prototype-only,Public page asset; rights confirmation required.,1ce1cedce736f8d307a1668958bd16b968828ac4991f07e65c684ce7d49f7f91
nw-6f03132fa165,oliver,Mercury — One of the Greats,source,Gallery still,assets/source/oliver/mercury-josh-fabian/still-frame-49.png,,png,1240,698,,1240 × 698,https://oliverhamilton.com/project/mercury-josh-fabian/,https://oliverhamilton.com/wp-content/uploads/2025/01/Frame-49.png,public portfolio rendition,owner-review;replace-with-approved-master,prototype-only,Public page asset; rights confirmation required.,d1dbee7e607dc5b26ccc209c5651af088f01d9977dde28cc6eb7636a57553776
nw-1b42a255fc25,oliver,Mercury — One of the Greats,source,Gallery still,assets/source/oliver/mercury-josh-fabian/still-frame-50.png,,png,1240,698,,1240 × 698,https://oliverhamilton.com/project/mercury-josh-fabian/,https://oliverhamilton.com/wp-content/uploads/2025/01/Frame-50.png,public portfolio rendition,owner-review;replace-with-approved-master,prototype-only,Public page asset; rights confirmation required.,dc0e5072409426fb49f28e28d332e7cd6a4759e85063e616427609ea931d65d6
nw-0316f2778917,oliver,Mercury — One of the Greats,source,Gallery still,assets/source/oliver/mercury-josh-fabian/still-frame-51.png,,png,1240,698,,1240 × 698,https://oliverhamilton.com/project/mercury-josh-fabian/,https://oliverhamilton.com/wp-content/uploads/2025/01/Frame-51.png,public portfolio rendition,owner-review;replace-with-approved-master,prototype-only,Public page asset; rights confirmation required.,65cbb240c38c9be5d215f3d55dad29f8372608d028fbdff9d2a1846d70b4bfa6
nw-c210676910bf,oliver,Mercury — One of the Greats,source,Gallery still,assets/source/oliver/mercury-josh-fabian/still-frame-52.png,,png,1240,698,,1240 × 698,https://oliverhamilton.com/project/mercury-josh-fabian/,https://oliverhamilton.com/wp-content/uploads/2025/01/Frame-52.png,public portfolio rendition,owner-review;replace-with-approved-master,prototype-only,Public page asset; rights confirmation required.,91106519fba6f7f1cb99dff15534d366f64cd70b3f0f3859279091f1dc100dc5
